,Unnamed: 0,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,hl2b_name,main_time,main_extra_time,completion_time,pic_url,genre,tags,single_genre,score,main_70,main_extra_time_70,bonus_content_70,main_70_noise,main_extra_time_70_noise,completion_time_250,completion_time_250_noise,bonus_content_70_noise,bonus_content_250,bonus_content_250_noise,ccu_15k,ccu_10k,ccu_5k
0,1,304930,Unturned,Smartly Dressed Games,Smartly Dressed Games,,438719,40962,0,"20,000,000 .. 50,000,000",8443,2702,330,689,0,0.0,0,41184,Unturned,49.5,52.0,55.0,/games/Unturned_292x136.jpg,"Action, Adventure, Casual, Free to Play, Indie","{'Free to Play': 36264, 'Survival': 15947, 'Zombies': 14889, 'Open World Survival Craft': 14577, 'Multiplayer': 14059, 'Open World': 12526, 'Adventure': 9431, 'Crafting': 9057, 'Action': 7969, 'First-Person': 7701, 'Co-op': 7393, 'Sandbox': 6854, 'Shooter': 6624, 'Post-apocalyptic': 6472, 'FPS': 5832, 'Singleplayer': 5473, 'Massively Multiplayer': 4419, 'Indie': 4182, 'Casual': 3743, 'Atmospheric': 3699}",Casual,91.46057484036264,49.5,52.0,5.5,49.976763544111854,51.776245009716696,55.0,55.06298264710995,5.959989145306149,5.5,5.486941483873795,15001,10001,5001
1,5,1245620,ELDEN RING,FromSoftware Inc.,"FromSoftware Inc., Bandai Namco Entertainment",,440765,50298,0,"20,000,000 .. 50,000,000",5293,368,4744,90,5999,59.99,0,60608,Elden Ring,48.5,84.5,112.0,/games/68151_Elden_Ring.jpg,"Action, RPG","{'Souls-like': 4380, 'Relaxing': 4050, 'Dark Fantasy': 3337, 'RPG': 3015, 'Difficult': 2865, 'Open World': 2611, 'Action RPG': 2447, 'Third Person': 2379, 'Fantasy': 2231, 'Multiplayer': 2181, 'Online Co-Op': 2132, 'Singleplayer': 2091, 'Action': 2051, 'Co-op': 1810, 'PvP': 1800, 'Violent': 1675, 'Atmospheric': 1533, '3D': 1522, 'Great Soundtrack': 1483, 'Walking Simulator': 1259}",RPG,89.75732238022412,48.5,71.0,63.5,48.681512057308105,71.0,112.0,111.79739853765155,63.23318658785877,63.5,55.559541313026855,15001,10001,5001
2,6,340,Half-Life 2: Lost Coast,Valve,Valve,,9168,1249,0,"20,000,000 .. 50,000,000",52,0,22,0,0,0.0,0,18,Half-Life 2: Lost Coast,0.3833333333333333,0.45,0.4833333333333333,/games/250px-Lostcoastlogo.PNG,Action,"{'FPS': 1022, 'Action': 359, 'Singleplayer': 306, 'First-Person': 249, 'Sci-fi': 245, 'Shooter': 221, 'Short': 217, 'Aliens': 117, 'Dystopian ': 112, 'Classic': 108, 'Adventure': 104, 'Atmospheric': 91, 'Benchmark': 91, 'Futuristic': 88, 'Silent Protagonist': 83, 'Free to Play': 57, 'Multiplayer': 40, 'Post-apocalyptic': 39, 'Story Rich': 37, 'Great Soundtrack': 33}",Action,88.00998368052223,0.3833333333333333,0.45,0.09999999999999998,0.3833333333333333,0.45,0.4833333333333333,0.4833333333333333,0.09066208059536913,0.09999999999999998,0.10099665280695275,18,18,18
3,7,1085660,Destiny 2,Bungie,Bungie,,396708,75092,0,"20,000,000 .. 50,000,000",9024,1948,399,722,0,0.0,0,107536,Destiny 2,12.0,33.0,131.0,/games/43894_Destiny_2.png,"Action, Adventure, Free to Play","{'Free to Play': 2539, 'Open World': 2401, 'Looter Shooter': 2383, 'FPS': 2381, 'PvP': 2368, 'PvE': 2339, 'MMORPG': 2337, 'Co-op': 2289, 'Shooter': 2230, 'First-Person': 2164, 'Sci-fi': 2145, 'Massively Multiplayer': 2135, 'Action': 2133, 'Loot': 2122, 'Lore-Rich': 2105, 'Space': 2082, 'Adventure': 2061, 'Competitive': 2058, 'Atmospheric': 1997, 'Cinematic': 1993}",Action,84.08393387028401,12.0,33.0,71.0,11.786652921174818,32.70200895792201,131.0,130.5428566750659,54.57358414460376,119.0,115.15577622876799,15001,10001,5001
4,8,892970,Valheim,Iron Gate AB,Coffee Stain Publishing,,331769,15503,0,"20,000,000 .. 50,000,000",2964,359,1399,193,1999,19.99,0,20117,Valheim,72.0,88.0,130.0,/games/87873_Valheim.jpg,"Action, Adventure, Indie, RPG, Early Access","{'Open World Survival Craft': 1284, 'Survival': 1256, 'Online Co-Op': 1222, 'Open World': 1204, 'Multiplayer': 1107, 'Building': 1090, 'Crafting': 1058, 'Exploration': 982, 'Base-Building': 859, 'Co-op': 849, 'Sandbox': 777, 'Adventure': 734, 'Mythology': 712, 'RPG': 632, 'Sailing': 605, 'Early Access': 573, 'Action': 527, 'Indie': 461, 'PvP': 434, 'Fishing': 424}",RPG,95.53577599115393,71.0,71.0,58.0,71.0,71.0,130.0,129.88716006138705,59.078194666186604,58.0,54.87054704964861,15001,10001,5001
5,9,1240440,Halo Infinite,343 Industries,Xbox Game Studios,,105275,36520,0,"20,000,000 .. 50,000,000",822,211,134,154,0,0.0,0,7808,Halo Infinite,10.5,18.5,25.0,/games/57454_Halo_Infinite.jpg,"Action, Free to Play","{'Free to Play': 608, 'FPS': 599, 'Multiplayer': 559, 'Action': 520, 'Shooter': 512, 'First-Person': 506, 'Sci-fi': 490, 'Singleplayer': 489, 'Open World': 474, 'Competitive': 425, 'Co-op': 419, 'PvP': 418, 'Story Rich': 406, 'Space': 396, 'Adventure': 389, 'Lore-Rich': 378, 'Aliens': 372, 'Atmospheric': 370, 'Cinematic': 362, 'Soundtrack': 359}",Action,74.24450791635812,10.5,18.5,14.5,10.524752150305932,18.390345090003084,25.0,24.522448728252815,12.786933565808768,14.5,13.08259166564504,7808,7808,5001
6,10,238960,Path of Exile,Grinding Gear Games,Grinding Gear Games,,165911,16452,0,"20,000,000 .. 50,000,000",10528,1945,326,1577,0,0.0,0,44472,Path of Exile,27.0,111.0,451.0,/games/2381999-path_of_exile_box_large.jpg,"Action, Adventure, Free to Play, Indie, Massively Multiplayer, RPG","{'Free to Play': 16813, 'Action RPG': 3285, 'Hack and Slash': 2979, 'RPG': 2705, 'Multiplayer': 2620, 'Loot': 2030, 'Massively Multiplayer': 1991, 'Dungeon Crawler': 1982, 'Character Customization': 1918, 'Inventory Management': 1883, 'MMORPG': 1519, 'Action': 1335, 'Fantasy': 1252, 'Adventure': 1171, 'Isometric': 1139, 'Singleplayer': 1116, 'Online Co-Op': 1094, 'PvP': 924, 'Horror': 920, 'Point & Click': 903}",MMO,90.97843312514053,27.0,71.0,71.0,26.657294157670307,71.0,251.0,251.0,69.30641414290483,251.0,237.80211382745236,15001,10001,5001
7,13,291550,Brawlhalla,Blue Mammoth Games,Ubisoft,,241381,45363,0,"10,000,000 .. 20,000,000",5111,211,183,70,0,0.0,0,17068,Brawlhalla,134.0,42.5,62.5,/games/Brawlhalla_header.jpg,"Action, Free to Play, Indie","{'Free to Play': 3793, 'Multiplayer': 2730, 'Fighting': 2587, 'Casual': 1981, '2D Fighter': 1904, '2D Platformer': 1889, 'Fantasy': 1867, 'Action': 1851, 'Family Friendly': 1847, 'Local Multiplayer': 1844, 'Co-op': 1835, 'Controller': 1831, 'Platformer': 1827, 'Cartoony': 1826, 'e-sports': 1825, 'Online Co-Op': 1821, 'Local Co-Op': 1814, '4 Player Local': 1809, 'Indie': 1798, 'Singleplayer': 1796}",Action,84.17996540468152,71.0,42.5,0.0,71.0,42.61895340879579,62.5,62.015115709594845,0.0,0.0,0.0,15001,10001,5001
8,17,272060,Serena,Senscape,Senscape,,4869,1428,0,"10,000,000 .. 20,000,000",216,0,13,0,0,0.0,0,4,Serena,0.8166666666666667,0.9333333333333332,1.0,/games/Serena_292x136.jpg,"Adventure, Indie","{'Horror': 5220, 'Free to Play': 251, 'Indie': 204, 'Point & Click': 189, 'Psychological Horror': 147, 'Adventure': 132, 'Story Rich': 128, 'Dark': 122, 'Short': 112, 'First-Person': 96, 'Mystery': 91, 'Atmospheric': 90, 'Multiplayer': 69, 'Singleplayer': 67, 'Puzzle': 29, 'Walking Simulator': 20, 'Co-op': 18, 'Hidden Object': 15, 'Romance': 5, 'Nudity': 5}",Adventure,77.32253454025727,0.8166666666666667,0.9333333333333332,0.18333333333333335,0.8166666666666667,0.9333333333333332,1.0,1.3329505961285637,0.1796607292314913,0.18333333333333335,0.1860510453991436,4,4,4
9,18,1091500,Cyberpunk 2077,CD PROJEKT RED,CD PROJEKT RED,,387044,129318,0,"10,000,000 .. 20,000,000",3414,253,2723,222,5999,59.99,0,8866,Cyberpunk 2077,22.5,59.0,103.0,/games/Cyberpunk-2077-2.jpg,RPG,"{'Cyberpunk': 5156, 'Open World': 4399, 'RPG': 3865, 'Singleplayer': 3745, 'Sci-fi': 3739, 'Futuristic': 3733, 'Nudity': 3706, 'FPS': 3577, 'First-Person': 3408, 'Atmospheric': 3316, 'Story Rich': 3299, 'Mature': 3231, 'Exploration': 3222, 'Action': 2388, 'Violent': 2079, 'Great Soundtrack': 1866, 'Action RPG': 1820, 'Adventure': 1724, 'Character Customization': 832, 'Immersive Sim': 690}",RPG,74.95594176178727,22.5,59.0,71.0,22.171457503416306,59.26739973489111,103.0,103.27796941032688,71.0,80.5,93.90752593898232,8866,8866,5001
