single_genre,Unnamed: 0,appid,score_rank,positive,negative,userscore,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,main_time,main_extra_time,completion_time,score,main_70,main_extra_time_70,bonus_content_70,main_70_noise,main_extra_time_70_noise,completion_time_250,completion_time_250_noise,bonus_content_70_noise,bonus_content_250,bonus_content_250_noise
Action,3704.5,347880.0,,1518.0,276.5,0.0,234.5,0.0,210.5,0.0,1199.0,14.99,0.0,8.0,6.0,9.0,14.0,85.82666496715127,6.0,9.0,7.0,6.140390793960426,8.876932478239361,14.0,14.083317653287875,6.841576397840253,7.0,6.804504053427351
Adventure,6199.0,474600.0,,778.0,125.0,0.0,136.5,0.0,150.5,0.0,999.0,9.990000000000002,0.0,3.0,4.0,4.5,6.0,87.08091337187528,4.0,4.5,2.0,3.902327347152834,4.823599541073615,6.0,6.31846204218516,1.8417989373105141,2.0,1.8449218268862313
Casual,7103.5,471015.0,100.0,613.5,86.0,0.0,135.0,0.0,138.5,0.0,599.0,6.99,0.0,2.0,2.5,3.5,5.0,89.2007461031053,2.5,3.5,1.5,2.578719552282924,3.5055021651446014,5.0,4.826653802214019,1.6739649277343163,1.5,1.6437488775902684
Indie,7996.0,402310.0,,698.5,91.5,0.0,70.5,0.0,71.0,0.0,499.0,6.99,0.0,1.0,2.5,4.0,5.5,90.81161704283221,2.5,4.0,1.8333333333333335,2.579620461049808,3.817669688359845,5.5,5.480150269638566,1.6962670493137977,1.8333333333333335,1.7533494935212501
MMO,402.0,375900.0,,24876.0,5352.0,0.0,1939.0,93.0,496.0,97.0,699.0,6.99,0.0,1040.0,62.0,80.0,97.5,80.11401008550756,62.0,71.0,7.0,62.23050112258686,71.0,97.5,97.23739017632963,6.5583172833325065,7.0,6.91579606760432
RPG,3917.0,417705.0,100.0,1669.5,265.0,0.0,360.5,0.0,337.0,0.0,1499.0,14.99,0.0,13.0,12.5,18.5,29.75,86.34456848191141,12.5,18.5,14.5,12.521307241933965,18.40837354852748,29.75,29.51309422725643,14.394223082492761,14.5,14.681980288537648
Racing,4058.0,331650.0,,1252.0,297.0,0.0,193.0,0.0,177.0,0.0,999.0,9.990000000000002,0.0,7.0,6.0,10.0,18.5,82.95520651541594,6.0,10.0,10.033333333333333,6.045965962303873,10.002429870479927,18.5,18.3902521526445,10.604532355491944,10.033333333333333,10.666251250749644
Simulation,3815.0,529780.0,97.0,1740.0,300.0,0.0,290.0,0.0,253.0,0.0,1299.0,14.99,0.0,15.0,7.0,11.5,19.0,86.79838347552761,7.0,11.5,10.0,6.7889606648380605,11.400928393856393,19.0,19.08714979626421,10.432587011906346,10.0,10.025042265029974
Sports,3839.0,518790.0,,1539.0,346.0,0.0,327.0,0.0,283.0,0.0,1499.0,14.99,0.0,16.0,8.5,11.5,24.0,83.85269121813032,8.5,11.5,13.5,8.528360956407157,11.72648093929393,24.0,24.144441144845572,12.319770662555095,13.5,13.195645298795007
Strategy,3283.0,304410.0,,1351.0,265.0,0.0,327.0,0.0,267.0,0.0,999.0,12.990000000000002,0.0,14.0,11.0,17.5,31.0,83.83545770567787,11.0,17.5,17.0,10.974190476052563,17.73615694532199,31.0,31.45004200504938,15.989815200001699,17.0,17.10394083741496
